epoch,train_loss,val_loss,train_2afc,val_2afc
1,0.2626068954137589,0.2084162525832653,0.9261870503597123,0.9511627906976744
2,0.10993815913046007,0.1965799446196057,0.9955395683453238,0.9476744186046512
3,0.04865867516910322,0.19348438528561315,1.0,0.9430232558139535
4,0.02227906980826486,0.20497458237115035,1.0,0.9279069767441861
5,0.011376577409104907,0.21364724475803765,1.0,0.9162790697674419
